country,Age dependency ratio (% of working-age population),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Panama,53.4673570502417,83382400000.0,7.31677741654941,18661.7673290605,18010.0,15713000000.0,35095000000.0,69.512
St. Kitts and Nevis,42.504177608021,1077033111.11111,3.43115229343,22553.3056457148,21380.0,24000000.0,317000000.0,31.096
St. Lucia,37.4395730080061,2519925938.52447,3.19000999999997,13980.0940828315,12400.0,77000000.0,936000000.0,19.172
St. Vincent and the Grenadines,48.5325503115376,1065962962.96296,6.01610914506236,10279.4939435955,10070.0,43000000.0,414000000.0,54.299
Trinidad and Tobago,44.3957983303951,28139944790.2911,2.10324544981324,18332.9640176054,17940.0,8925000000.0,7270000000.0,53.439
Mexico,48.3844538459676,1788886821046.81,3.22873675559163,13926.1136190914,12100.0,593012000000.0,621476000000.0,81.582
Argentina,53.3593745839734,640591410663.883,-1.55050153620256,13730.5147090247,12520.0,66787000000.0,73715000000.0,92.463
Bolivia,54.7152056382276,45849832906.4139,2.44347191830776,3700.97833772869,3600.0,11018000000.0,11120000000.0,71.186
Brazil,43.2982578361269,2173665655937.27,2.90848048667777,10043.6239221567,9070.0,339696000000.0,252710000000.0,87.788
Chile,46.3022033289926,335533331669.219,0.218780666901552,17093.2419713921,15820.0,94937000000.0,85506000000.0,88.012
Colombia,43.8643005915335,363540156234.868,0.612181322079849,6979.72513470377,6870.0,49545000000.0,62797000000.0,82.354
Ecuador,50.0659233032566,118844826000.0,2.35521790742197,6533.35150400616,6510.0,31126000000.0,30898000000.0,64.792
Guyana,53.6644405296658,16786302158.2734,33.0168829873529,20626.1991490567,20360.0,13059000000.0,6478000000.0,27.162
Paraguay,53.9745675251797,42956263543.9482,4.71412407945468,6260.45519099666,6200.0,11891000000.0,16105000000.0,63.149
Peru,52.1031656915714,267603248655.253,-0.55018230632048,7789.87097514036,6990.0,60756000000.0,52306000000.0,78.922
Suriname,50.6008462350755,3782437296.04323,2.07545911217966,6069.02890083889,5360.0,2498000000.0,1822000000.0,66.411
Uruguay,52.743745311968,77240831587.167,0.3674751756175,22564.5324620687,19530.0,9193000000.0,12486000000.0,95.771
"Venezuela, RB",55.1640657488662,,,,,8470000000.0,11180000000.0,88.438
Kazakhstan,60.8388585165681,261421121085.572,5.09999999973641,13136.6229097144,10940.0,78533000000.0,60655000000.0,58.179
Kyrgyz Republic,64.0594318129046,13987627908.8381,6.15139183716032,1969.86648107793,1700.0,3309000000.0,12352000000.0,37.801
Tajikistan,65.8796621619522,12060602008.8478,8.29999921651935,1188.99303811773,1440.0,1718000000.0,5748000000.0,28.234
Turkmenistan,57.0850514749399,59887334844.0651,6.29999999999993,9190.67154341786,,9917000000.0,3482000000.0,54.003
Uzbekistan,55.0837063627364,90889149306.7313,5.98897580604036,2496.10775758036,2360.0,20045000000.0,36781000000.0,50.532
Armenia,51.7224900243261,24212134631.064,8.7,8715.76533622178,7330.0,8415000000.0,12308000000.0,63.739
Azerbaijan,43.9617747836742,72356176470.5882,1.12397432709641,7155.08360355897,6680.0,33899000000.0,17285000000.0,57.577
Georgia,56.4129099669027,30535530479.0227,7.47447909383303,8120.36344318242,6680.0,6091000000.0,15514000000.0,60.727
Australia,54.3548555976018,1723827215334.71,3.01698810357014,64711.7656030565,63140.0,370866000000.0,287740000000.0,86.617
Fiji,52.414211816486,5494797540.73365,8.02640862453754,5868.1591677839,5580.0,1017000000.0,3118000000.0,58.713
Guam,61.4798562158629,,,,,23000000.0,1305000000.0,95.166
Kiribati,66.1378229057787,279034355.108421,4.28571428571429,2089.91016071918,3730.0,8000000.0,96000000.0,57.762
Marshall Islands,57.9925510703134,284000000.0,3.22599899400625,6762.54881417278,7570.0,59000000.0,103000000.0,78.868
"Micronesia, Fed. Sts.",57.0301320577293,460000000.0,0.784313725490193,3992.22384225509,4150.0,106000000.0,301000000.0,23.379
Nauru,70.6958728462669,154127798.193541,0.704225352112744,12060.0781059109,22090.0,44000000.0,79000000.0,100.0
New Zealand,54.4223582027509,253465703232.146,0.632242361629224,48527.828920018,48610.0,41483000000.0,49997000000.0,86.985
Niue,,,,,,,,
Palau,45.6290322580645,263020733.717011,0.448430493273634,14565.3302534617,14250.0,2000000.0,242000000.0,82.408
Samoa,74.8082911186504,934100336.275654,7.99198264387498,4139.02958723,4020.0,42000000.0,468000000.0,17.508
Solomon Islands,73.5713180584272,1631286701.11516,2.95008536339103,2203.1791258997,2270.0,427000000.0,732000000.0,26.037
Tokelau,,,,,,,,
Tonga,67.3327433353518,,,,,9000000.0,265000000.0,23.16
Tuvalu,62.391335328488,62280311.5852172,3.85280919517032,5465.10280670561,7550.0,0.0,25000000.0,66.241
Vanuatu,74.9398573311298,1126313359.21923,2.21294177094788,3367.09463871866,3660.0,63000000.0,455000000.0,25.976
Papua New Guinea,59.2142746940577,30932496249.7917,2.68101048379781,2994.4533269188,2840.0,12036000000.0,3019000000.0,13.723
Angola,90.2339339708724,84722957642.3757,0.856000934845724,2309.52162029791,2130.0,38351000000.0,16108000000.0,68.688
Benin,82.9425071937882,19673284686.0023,6.35282160914288,1434.66283439144,1440.0,4071000000.0,4234000000.0,50.1
Botswana,56.2078768624974,19395765126.3127,2.73091904554352,7249.79932596262,7620.0,5424000000.0,6392000000.0,72.867
Burkina Faso,84.6981509916267,20324617838.9676,2.96018001322078,874.121280381345,850.0,4309000000.0,5863000000.0,32.52
Burundi,90.9962722818373,2642161668.92754,2.70000059705133,199.580760181492,230.0,204000000.0,1151000000.0,14.784
Cabo Verde,45.9247270679826,2587252076.3056,5.14913485822454,4321.57986427786,4280.0,54000000.0,980000000.0,67.982
